conspiracy+theory+1997,8834,6.5,440,Conspiracy Theory,en,False,"{""Action"", ""Drama"", ""Mystery"", ""Thriller""}",135,14.261798
get+smart+2008,11665,6.0,1072,Get Smart,en,False,"{""Action"", ""Comedy"", ""Thriller""}",110,11.35779
never+say+never+again+1983,36670,5.8,348,Never Say Never Again,en,False,"{""Adventure"", ""Action"", ""Thriller""}",134,10.231985
mother_+jugs++speed+1976,26176,5.8,12,"Mother, Jugs & Speed",en,False,"{""Comedy""}",95,5.016085
taxi+driver+1976,103,8.1,2632,Taxi Driver,en,False,"{""Crime"", ""Drama""}",114,14.092713
the+children+of+huang+shi+2008,13405,6.5,53,The Children of Huang Shi,zh,False,"{""Drama"", ""War""}",125,14.622493
wall+street+1987,10673,7.0,557,Wall Street,en,False,"{""Crime"", ""Drama""}",126,11.672701
two+brothers+2004,1997,6.9,185,Two Brothers,en,False,"{""Adventure"", ""Drama"", ""Family""}",109,5.300303
divine+trash+1998,53380,7.4,13,Divine Trash,en,False,"{""Documentary""}",97,1.143004
foul+play+1978,15659,6.3,68,Foul Play,en,False,"{""Comedy"", ""Mystery"", ""Thriller""}",116,4.789542
can-can+1960,33726,7.2,9,Can-Can,en,False,"{""Drama"", ""Music"", ""Romance""}",131,0.803604
star+trek+v+the+final+frontier+1989,172,5.6,384,Star Trek V: The Final Frontier,en,False,"{""Science Fiction"", ""Action"", ""Adventure"", ""Thriller""}",107,12.308007
enemy+of+the+state+1998,9798,6.7,1266,Enemy of the State,en,False,"{""Action"", ""Drama"", ""Thriller""}",132,12.978751
the+raven+1963,29056,6.3,56,The Raven,en,False,"{""Comedy"", ""Fantasy"", ""Horror""}",86,4.817514
the+mouse+that+roared+1959,12649,6.9,23,The Mouse That Roared,en,False,"{""Comedy""}",83,2.612138
blade+trinity+2004,36648,5.7,1276,Blade: Trinity,en,False,"{""Science Fiction"", ""Action"", ""Horror"", ""Thriller"", ""Adventure"", ""Fantasy""}",123,18.860681
maid+in+manhattan+2002,7303,5.6,493,Maid in Manhattan,en,False,"{""Comedy"", ""Drama"", ""Romance""}",105,7.291939
gettysburg+1993,10655,6.6,91,Gettysburg,en,False,"{""War"", ""Drama"", ""History""}",254,6.588347
booty+call+1997,21915,5.6,29,Booty Call,en,False,"{""Comedy""}",79,2.543626
g.i.+joe+the+movie+1987,17421,6.6,14,G.I. Joe: The Movie,en,False,"{""Animation"", ""Action"", ""Thriller"", ""Science Fiction"", ""Family""}",93,1.806553
malice+1993,2246,5.9,105,Malice,en,False,"{""Drama"", ""Crime""}",107,9.861672
son+of+dracula+1943,32023,6.8,16,Son of Dracula,en,False,"{""Fantasy"", ""Horror""}",80,5.343065
mansfield+park+1999,10399,6.7,81,Mansfield Park,en,False,"{""Drama"", ""Romance""}",112,6.646005
company+man+2000,44412,5.3,9,Company Man,en,False,"{""Comedy""}",86,1.261369
samurai+fiction+1998,10686,6.9,18,Samurai Fiction,ja,False,"{""Action"", ""Comedy""}",111,3.121214
spider-man+3+2007,559,5.9,3687,Spider-Man 3,en,False,"{""Fantasy"", ""Action"", ""Adventure""}",139,27.614265
scanners+1981,9538,6.5,248,Scanners,en,False,"{""Horror"", ""Science Fiction"", ""Thriller""}",103,10.574039
jennifers+body+2009,19994,5.3,858,Jennifers Body,en,False,"{""Comedy"", ""Horror""}",100,13.483131
but+im+a+cheerleader+1999,20770,6.5,101,But Im a Cheerleader,en,False,"{""Comedy""}",85,4.928139
42nd+street+1933,3062,6.1,38,42nd Street,en,False,"{""Music"", ""Comedy"", ""Romance""}",89,4.718154
fantastic+mr.+fox+2009,10315,7.5,1206,Fantastic Mr. Fox,en,False,"{""Adventure"", ""Animation"", ""Comedy"", ""Family""}",87,8.695893
the+golem+how+he+came+into+the+world+1920,2972,7.0,29,The Golem: How He Came Into the World,de,False,"{""Horror"", ""Science Fiction"", ""Thriller""}",85,1.52413
thor+2011,10195,6.6,6678,Thor,en,False,"{""Adventure"", ""Fantasy"", ""Action""}",115,29.158489
the+seventh+seal+1957,490,7.9,569,The Seventh Seal,sv,False,"{""Fantasy"", ""Drama""}",96,6.47828
my+life+and+times+with+antonin+artaud+1993,124306,8.0,1,My Life and Times With Antonin Artaud,en,False,"{}",90,0.000308
rock+star+2001,12508,6.0,194,Rock Star,en,False,"{""Music"", ""Drama"", ""Comedy""}",105,10.076223
two+sons+of+francisco+2005,49367,6.7,43,Two Sons of Francisco,pt,False,"{""Drama"", ""History""}",115,1.96214
hook+1991,879,6.7,1563,Hook,en,False,"{""Adventure"", ""Fantasy"", ""Comedy"", ""Family""}",144,14.508137
broadway+danny+rose+1984,12762,7.2,104,Broadway Danny Rose,en,False,"{""Comedy""}",84,5.892277
portraits+chinois+1996,104103,7.5,2,Portraits Chinois,fr,False,"{""Drama"", ""Comedy""}",111,0.127894
the+expendables+2010,27578,6.0,2977,The Expendables,en,False,"{""Thriller"", ""Adventure"", ""Action""}",103,14.75562
girl+most+likely+2012,72890,5.7,103,Girl Most Likely,en,False,"{""Comedy""}",103,4.80745
national+lampoons+vacation+1983,11153,7.1,412,National Lampoons Vacation,en,False,"{""Comedy"", ""Adventure"", ""Romance""}",98,7.747432
eves+bayou+1997,45153,6.3,29,Eves Bayou,en,False,"{""Drama""}",109,1.461772
onegin+1999,30237,5.8,26,Onegin,en,False,"{""Drama"", ""Romance""}",104,7.171138
velvet+goldmine+1998,1808,6.9,119,Velvet Goldmine,en,False,"{""Drama"", ""Music""}",119,16.5293
van+helsing+2004,7131,6.0,1674,Van Helsing,en,False,"{""Horror"", ""Adventure"", ""Action""}",132,12.643312
band+of+outsiders+1964,8073,7.5,103,Band of Outsiders,fr,False,"{""Crime"", ""Drama"", ""Romance""}",97,5.648187
tokyo+fist+1995,41577,6.6,29,Tokyo Fist,ja,False,"{""Romance"", ""Action"", ""Drama"", ""Thriller""}",87,1.673946
saw+iii+2006,214,6.1,1104,Saw III,en,False,"{""Horror"", ""Thriller"", ""Crime""}",108,14.938035
the+magdalene+sisters+2002,8094,7.4,114,The Magdalene Sisters,en,False,"{""Drama""}",119,5.725912
a+million+ways+to+die+in+the+west+2014,188161,5.8,1494,A Million Ways to Die in the West,en,False,"{""Comedy"", ""Western""}",116,10.38391
forces+of+nature+1999,1641,5.1,141,Forces of Nature,en,False,"{""Romance"", ""Comedy""}",105,7.906035
the+matchmaker+1997,20457,6.1,18,The Matchmaker,en,False,"{""Comedy"", ""Romance""}",97,3.742915
national+lampoons+van+wilder+2002,11452,5.9,867,National Lampoon’s Van Wilder,en,False,"{""Comedy"", ""Romance""}",92,7.668576
medea+1969,26356,6.1,32,Medea,it,False,"{""Drama""}",118,2.216567
frank+herberts+dune+2000,876,6.7,114,Frank Herberts Dune,en,False,"{""Action"", ""Adventure"", ""Fantasy"", ""Science Fiction""}",292,14.612842
in+bruges+2008,8321,7.4,1414,In Bruges,en,False,"{""Comedy"", ""Drama"", ""Crime""}",107,9.895652
stuck+on+you+2003,1792,5.1,194,Stuck on You,en,False,"{""Comedy""}",118,6.96675
the+wooden+mans+bride+1994,59146,6.5,1,The Wooden Mans Bride,en,False,"{""Drama"", ""Foreign"", ""Romance""}",113,0.088451
the+blackout+1997,25690,5.2,13,The Blackout,en,False,"{""Drama"", ""Mystery"", ""Thriller""}",98,1.395025
octopussy+1983,700,6.2,534,Octopussy,en,False,"{""Adventure"", ""Action"", ""Thriller""}",131,10.619302
beowulf+2007,2310,5.5,855,Beowulf,en,False,"{""Adventure"", ""Action"", ""Animation""}",115,9.951195
k-9+1989,10345,5.5,209,K-9,en,False,"{""Action"", ""Comedy"", ""Crime""}",101,5.772293
house+party+1990,16094,6.1,52,House Party,en,False,"{""Comedy"", ""Drama""}",100,2.291511
quarantine+2008,13812,5.6,343,Quarantine,en,False,"{""Horror"", ""Science Fiction"", ""Thriller""}",89,6.140116
my+cousin+vinny+1992,10377,7.3,393,My Cousin Vinny,en,False,"{""Comedy"", ""Drama""}",120,7.922216
my+best+fiend+1999,8672,7.6,45,My Best Fiend,de,False,"{""Documentary""}",95,1.807445
ong-bak+the+thai+warrior+2003,9316,7.0,556,Ong-Bak: The Thai Warrior,th,False,"{""Action"", ""Thriller""}",105,7.89916
rize+2005,2287,5.9,13,Rize,en,False,"{""Documentary""}",86,1.355932
death+wish+4+the+crackdown+1987,26263,5.6,51,Death Wish 4: The Crackdown,en,False,"{""Thriller"", ""Action"", ""Adventure"", ""Crime""}",99,4.566325
the+sting+1973,9277,7.9,639,The Sting,en,False,"{""Comedy"", ""Crime"", ""Drama""}",129,12.016821
gloria+1999,45712,5.5,13,Gloria,en,False,"{""Drama"", ""Action"", ""Thriller"", ""Crime""}",108,1.807605
the+green+hornet+2011,40805,5.5,1274,The Green Hornet,en,False,"{""Action"", ""Crime"", ""Comedy""}",119,7.888013
x-men+the+last+stand+2006,36668,6.3,3581,X-Men: The Last Stand,en,False,"{""Adventure"", ""Action"", ""Science Fiction"", ""Thriller""}",104,0.867943
event+horizon+1997,8413,6.4,752,Event Horizon,en,False,"{""Horror"", ""Science Fiction"", ""Mystery""}",96,11.335072
kiss+kiss+bang+bang+2005,5236,7.2,900,Kiss Kiss Bang Bang,en,False,"{""Action"", ""Comedy"", ""Crime"", ""Mystery""}",103,11.76054
